S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
19,RAM NIWASH VISVAKARMA,Independent,137,0,137,0.08,75
20,LALAN PRASAD SAKET (MANEJAR),Independent,273,0,273,0.17,75
21,NOTA,None of the Above,285,5,290,0.18,75
1,AJAY ARJUN SINGH,Indian National Congress,96457,1060,97517,51.66,76
2,"Anendra Govind Mishra ""Rajan""",Aam Aadmi Party,8121,79,8200,4.34,76
3,BABLU VISHWAKARMA,Bahujan Samaj Party,1855,11,1866,0.99,76
4,SHARADENDU TIWARI,Bharatiya Janata Party,69333,407,69740,36.95,76
5,ARUN KUMAR BHAI SAHAB,Vindhya Janta Party,1082,5,1087,0.58,76
6,ANAND PANDEY,Communist Party of India,718,2,720,0.38,76
7,"BHUPENDRA DWIVEDI ""RAIDUARIA KALA""",Sapaks Party,220,1,221,0.12,76
8,"AD. RAGHAVENDRA ""MOOLNIWASI""",Peoples Party of India (Democratic),1026,13,1039,0.55,76
9,RAJENDRA PRASAD PATEL ADVOCATE,Samajwadi Party,418,1,419,0.22,76
10,ROHIT KUMAR PATEL,Bhartiya Shakti Chetna Party,628,6,634,0.34,76
11,ARJUN PRASAD SONDHIYA,Independent,158,0,158,0.08,76
12,ANURAG SINGH,Independent,402,1,403,0.21,76
13,DASHRATH PRASAD BAIS,Independent,1307,0,1307,0.69,76
14,PRADEEP SINGH GOND,Independent,488,0,488,0.26,76
15,RAGHUNANDAN SINGH,Independent,521,0,521,0.28,76
16,SUNIL SONI 'NIRDALI',Independent,2724,0,2724,1.44,76
17,GYANENDRA PRASAD DWIVEDI,Independent,1290,1,1291,0.68,76
18,NOTA,None of the Above,413,1,414,0.22,76
1,Anand Mangal Singh,Aam Aadmi Party,2721,14,2735,1.55,77
2,Bhai Ramkhelavan Rajak Urf Khilari Dhobi,Bahujan Samaj Party,3306,8,3314,1.87,77
3,Riti Pathak,Bharatiya Janata Party,88469,195,88664,50.12,77
4,Gyan Singh,Indian National Congress,52792,454,53246,30.1,77
5,Adesh Kumar Jayswal (Afsar Bhai),Jan Adhikar Party,1235,0,1235,0.7,77
6,Moolnivasi Geeta Rajkumar Sahu,Peoples Party of India (Democratic),577,3,580,0.33,77
7,Daddu Lal Pandey,Bhartiya Shakti Chetna Party,881,3,884,0.5,77
8,Balmeek Prasad Tripathi,Vindhya Janta Party,568,2,570,0.32,77
9,Ram Kumar Gupta (Bade),Jan Sewa Driver Party,687,0,687,0.39,77
10,Rampratap Singh Yadav,Samajwadi Party,4994,14,5008,2.83,77
11,Lal Bahadur Singh Uike,Aazad Samaj Party (Kanshi Ram),1592,3,1595,0.9,77
12,Shailendra Tiwari (Shailu Dutt),Rashtravadi Bharat Party,636,1,637,0.36,77
13,Sudama Kol,Aadim Samaj Party,1122,0,1122,0.63,77
14,Kedar Nath Shukla,Independent,13739,117,13856,7.83,77
15,Bhole Prasad Yadav,Independent,606,0,606,0.34,77
16,Manfer Singh,Independent,1184,0,1184,0.67,77
17,Rinkoo Kushwaha,Independent,341,0,341,0.19,77
18,NOTA,None of the Above,651,3,654,0.37,77
1,KAMLESHWAR INDRAJEET KUMAR,Indian National Congress,69930,677,70607,40.01,78
2,VISHWAMITRA PATHAK,Bharatiya Janata Party,86613,472,87085,49.35,78
3,SANKALAN KOL (RANI VERMA),Bahujan Samaj Party,9265,27,9292,5.27,78
4,GIRIJA PRASAD KEWAT,Rashtriya mahan Gantantra Party,667,0,667,0.38,78
5,"""MOOLNIWASI"" BIRBAHADUR CHHATHILAL SINGH TEKAM",Peoples Party of India (Democratic),361,4,365,0.21,78
6,BHAGIRATH SINGH BADKADE,Aazad Samaj Party (Kanshi Ram),622,1,623,0.35,78
7,BHARAT BHAI PATEL,Bhartiya Shakti Chetna Party,1309,1,1310,0.74,78
8,RAJKUMAR KUSHWAHA,Jan Adhikar Party,680,2,682,0.39,78
9,BHAGWAN DAS (B.D.SAHU),Independent,2138,2,2140,1.21,78
10,MARKANDE PRASAD RAWAT,Independent,1516,0,1516,0.86,78
11,NOTA,None of the Above,2174,2,2176,1.23,78
1,MAHADEV SINGH,Aam Aadmi Party,6223,7,6230,3.46,79
2,MANIK SINGH,Indian National Congress,45101,430,45531,25.25,79
3,RADHA RAVINDRA SINGH,Bharatiya Janata Party,105297,113,105410,58.46,79
4,CHHOTELAL SINGH PAIGAM,Bhartiya Shakti Chetna Party,3326,1,3327,1.85,79
5,NAWAL SINGH,Rashtriya Gondvana Party,994,1,995,0.55,79
6,SHAILENDRA HORIL SINGH,Gondvana Gantantra Party,7800,13,7813,4.33,79
7,SEEMA PANIKA MOOLNIWASI,Peoples Party of India (Democratic),917,2,919,0.51,79
8,SHUBHLAL BAIGA,Saman Aadmi Saman Party,1262,2,1264,0.7,79
9,SHRAWAN KUMAR SINGH,Samajwadi Party,2266,0,2266,1.26,79
10,NAVABI DEVI,Independent,1580,0,1580,0.88,79
11,SURYA PRATAP SINGH,Independent,1514,1,1515,0.84,79
12,NOTA,None of the Above,3462,1,3463,1.92,79
1,CHANDRA PRATAP VISHWAKARMA(CHANDE),Bahujan Samaj Party,29565,108,29673,18.65,80
2,Rani Agrawal,Aam Aadmi Party,8075,110,8185,5.14,80
3,RAM NIWAS SHAH,Bharatiya Janata Party,74355,314,74669,46.93,80
4,Renu Shah,Indian National Congress,36121,571,36692,23.06,80
5,AJIMULLA,Aazad Samaj Party (Kanshi Ram),726,0,726,0.46,80
6,ASHWANI KUMAR SHAH MOOLNIWASI,Peoples Party of India (Democratic),232,2,234,0.15,80
7,OMP RAKASH SINGH,Samajwadi Party,596,4,600,0.38,80
8,KUNDAN PANDEY,Vindhya Janta Party,1331,10,1341,0.84,80
9,CHATURGUN PAL,Bhartiya Shakti Chetna Party,537,2,539,0.34,80
10,PINTU LAL KUSHWAHA,Jan Adhikar Party,671,4,675,0.42,80
11,MAHESH PRATAP SINGH,Communist Party of India,1384,2,1386,0.87,80
12,RAMESHWAR PANDEY ADHIWAKTA,Saman Aadmi Saman Party,524,0,524,0.33,80
13,ATUL KUMAR DUBEY MEDIA,Independent,941,3,944,0.59,80
14,PUSHPENDRA GUPTA,Independent,1023,1,1024,0.64,80
15,MADHVENDRA SHUKLA,Independent,444,0,444,0.28,80
16,NOTA,None of the Above,1440,9,1449,0.91,80
1,BANSHMANI PRASAD VERMA,Indian National Congress,65791,415,66206,34.4,81
2,RATIBHAN PRASAD,Aam Aadmi Party,4405,18,4423,2.3,81
3,RAJENDRA MESHRAM,Bharatiya Janata Party,88479,181,88660,46.07,81
4,SHIV SHANKAR PRASAD,Bahujan Samaj Party,17006,22,17028,8.85,81
5,DINESH KUMAR,Bhartiya Krantisangh Party,635,1,636,0.33,81
6,PRAMILA VARMA,Peoples Party of India (Democratic),817,1,818,0.43,81
7,RAMDIN SAKET,Saman Aadmi Saman Party,485,0,485,0.25,81
8,LALPATI SAKET,Gondvana Gantantra Party,2982,9,2991,1.55,81
